mirna	HC1-Th17	HC2-nonTh17	HC2-Th17	HC3-nonTh17	HC3-Th17	HC4-nonTh17	HC4-Th17	AS1-nonTh17	AS1-Th17AS2-nonTh17	AS2-Th17	AS3-nonTh17	AS4-nonTh17
hsa-miR-6797-3p	0	0	2	0	1	0	0	1	0	0	0	0	0
hsa-miR-6797-5p	0	0	0	1	0	0	0	3	1	0	0	1	1
hsa-miR-6798-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6798-5p	0	0	0	0	0	0	0	0	0	0	0	1	0
hsa-miR-6799-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6799-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6800-3p	0	1	0	0	0	0	0	2	0	0	0	0	0
hsa-miR-6800-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6801-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6801-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6802-3p	0	1	2	2	0	3	0	7	1	0	0	0	3
hsa-miR-6802-5p	0	0	0	0	1	1	0	0	0	0	0	0	0
hsa-miR-6803-3p	5	10	9	4	4	18	2	71	14	5	0	5	12
hsa-miR-6803-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6804-3p	0	0	1	0	0	0	0	0	0	0	0	0	0
hsa-miR-6804-5p	0	1	1	0	0	1	0	0	0	0	0	0	2
hsa-miR-6805-3p	0	1	0	0	0	0	0	0	0	0	0	0	1
hsa-miR-6805-5p	1	1	4	2	2	1	0	6	8	0	0	4	1
hsa-miR-6806-3p	0	1	2	0	0	0	0	1	0	0	0	0	0
hsa-miR-6806-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6807-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6807-5p	0	0	0	0	1	1	0	1	0	0	0	0	1
hsa-miR-6808-3p	0	0	2	0	0	0	0	0	1	0	0	0	0
hsa-miR-6808-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6809-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6809-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6810-3p	0	0	1	0	0	0	0	0	0	0	0	0	0
hsa-miR-6810-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6811-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6811-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6812-3p	0	0	0	0	0	0	0	1	0	0	0	1	0
hsa-miR-6812-5p	0	0	0	0	0	0	0	0	0	0	0	0	1
hsa-miR-6813-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6813-5p	0	1	1	1	1	0	0	1	0	0	0	0	2
hsa-miR-6814-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6814-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6815-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6815-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6816-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6816-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6817-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6817-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6818-3p	1	0	6	3	0	0	0	0	0	0	0	0	2
hsa-miR-6818-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6819-3p	0	0	2	0	0	1	0	0	0	0	0	0	0
hsa-miR-6819-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6820-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6820-5p	0	0	0	0	0	0	0	1	2	0	0	0	0
hsa-miR-6821-3p	1	2	5	2	2	3	1	13	5	0	0	1	2
hsa-miR-6821-5p	2	3	6	2	1	9	4	14	6	0	0	2	3
hsa-miR-6822-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6822-5p	0	1	0	0	0	0	0	0	0	0	0	1	0
hsa-miR-6823-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6823-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6824-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6824-5p	0	0	0	0	0	0	0	1	0	0	0	0	0
hsa-miR-6825-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6825-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6826-3p	0	1	0	1	0	0	0	0	0	0	0	0	0
hsa-miR-6826-5p	0	0	0	0	0	0	0	2	0	0	0	0	0
hsa-miR-6827-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6827-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6828-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6828-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6829-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6829-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6830-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6830-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6831-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6831-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6832-3p	0	0	0	0	0	0	0	1	0	0	0	0	0
hsa-miR-6832-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6833-3p	0	0	0	1	0	1	0	2	0	0	0	0	1
hsa-miR-6833-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6834-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6834-5p	0	0	0	0	0	0	1	1	0	0	0	0	0
hsa-miR-6835-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6835-5p	0	0	0	0	0	0	0	1	0	0	0	1	0
hsa-miR-6836-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6836-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6837-3p	0	0	2	1	0	0	1	0	0	2	0	1	0
hsa-miR-6837-5p	1	0	1	2	0	0	0	0	0	0	0	4	1
hsa-miR-6838-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6838-5p	0	0	0	0	0	0	0	1	0	0	0	1	0
hsa-miR-6839-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6839-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6840-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6840-5p	0	1	2	1	0	0	0	1	0	0	0	3	0
hsa-miR-6841-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6841-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6842-3p	2	19	22	20	7	13	1	24	7	6	1	9	15
hsa-miR-6842-5p	0	2	2	1	1	2	1	10	4	5	2	9	10
hsa-miR-6843-3p	1	1	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6844	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6845-3p	0	0	0	0	2	0	0	0	0	0	0	0	0
hsa-miR-6845-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6846-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6846-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6847-3p	0	0	1	0	0	0	0	0	0	1	0	0	0
hsa-miR-6847-5p	0	0	0	2	0	2	0	0	0	0	0	0	0
hsa-miR-6848-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6848-5p	0	0	1	0	0	0	0	0	0	0	0	1	0
hsa-miR-6849-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6849-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6850-3p	0	1	0	0	0	0	0	0	1	0	0	0	0
hsa-miR-6850-5p	0	0	0	0	1	0	0	0	1	0	0	0	1
hsa-miR-6851-3p	0	1	0	0	1	0	0	0	0	0	0	0	0
hsa-miR-6851-5p	0	0	0	2	0	1	0	5	0	0	0	2	0
hsa-miR-6852-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6852-5p	0	1	2	0	1	0	0	1	2	0	0	0	0
hsa-miR-6853-3p	0	0	0	0	0	0	0	2	0	0	0	0	0
hsa-miR-6853-5p	0	0	0	0	0	0	0	0	1	0	0	0	0
hsa-miR-6854-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6854-5p	0	1	1	0	0	0	0	0	0	0	0	0	1
hsa-miR-6855-3p	1	2	8	2	2	5	0	4	3	1	0	2	2
hsa-miR-6855-5p	0	4	3	3	0	4	1	5	4	2	0	6	3
hsa-miR-6856-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6856-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6857-3p	0	0	0	1	0	0	0	1	0	0	0	4	1
hsa-miR-6857-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6858-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6858-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6859-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6859-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6860	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6861-3p	0	1	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6861-5p	0	0	0	0	0	0	0	0	0	0	0	0	1
hsa-miR-6862-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6862-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6863	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6864-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6864-5p	0	1	0	0	0	0	0	1	0	0	0	0	0
hsa-miR-6865-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6865-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6866-3p	0	0	0	0	0	1	0	1	5	0	0	0	1
hsa-miR-6866-5p	0	3	5	2	2	5	0	2	1	1	0	1	4
hsa-miR-6867-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6867-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6868-3p	0	3	5	0	4	7	1	7	0	0	0	0	18
hsa-miR-6868-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6869-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6869-5p	0	0	0	2	0	0	0	0	0	0	0	2	1
hsa-miR-6870-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6870-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6871-3p	0	0	0	1	0	0	0	0	0	0	0	1	0
hsa-miR-6871-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6872-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6872-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6873-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6873-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6874-3p	0	0	0	0	0	0	0	0	0	0	0	0	2
hsa-miR-6874-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6875-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6875-5p	0	0	0	0	0	0	0	0	0	0	0	2	0
hsa-miR-6876-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6876-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6877-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6877-5p	0	2	2	0	1	1	0	0	2	0	0	1	0
hsa-miR-6878-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6878-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6879-3p	1	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6879-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6880-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6880-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6881-3p	1	0	0	3	1	0	0	0	1	0	0	5	0
hsa-miR-6881-5p	0	0	0	0	0	0	0	0	0	0	0	0	1
hsa-miR-6882-3p	1	2	0	2	0	0	0	0	0	0	0	0	0
hsa-miR-6882-5p	0	0	3	1	0	1	0	2	0	0	0	1	2
hsa-miR-6883-3p	0	0	0	0	3	0	0	1	0	0	0	0	0
hsa-miR-6883-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6884-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6884-5p	0	1	1	0	0	0	0	0	0	0	0	0	0
hsa-miR-6885-3p	0	0	0	0	0	0	0	1	0	0	0	0	0
hsa-miR-6885-5p	0	0	0	0	0	0	0	0	0	0	0	0	2
hsa-miR-6886-3p	0	0	1	0	0	0	0	0	0	0	0	0	0
hsa-miR-6886-5p	0	0	0	0	0	0	0	0	0	0	0	0	1
hsa-miR-6887-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6887-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6888-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6888-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6889-3p	0	0	0	1	0	0	0	2	0	0	0	0	0
hsa-miR-6889-5p	0	0	0	0	1	0	0	0	0	0	0	1	0
hsa-miR-6890-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6890-5p	0	0	0	0	0	0	0	0	1	0	0	0	0
hsa-miR-6891-3p	0	0	0	0	0	0	0	1	0	0	0	0	0
hsa-miR-6891-5p	0	4	2	1	2	1	0	0	3	0	0	0	0
hsa-miR-6892-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6892-5p	0	2	1	0	0	1	0	0	1	0	0	0	1
hsa-miR-6893-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6893-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6894-3p	1	0	0	0	0	1	1	2	3	0	0	0	0
hsa-miR-6894-5p	0	0	0	0	0	0	0	0	0	0	0	1	0
hsa-miR-6895-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6895-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-7-1-3p	0	6	3	8	4	6	2	4	0	0	0	3	14
hsa-miR-7-2-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-7-5p	14	49	89	102	186	8	6	63	36	10	0	35	32
hsa-miR-708-3p	0	0	4	0	3	0	0	0	0	0	0	0	1
hsa-miR-708-5p	0	0	1	0	0	0	0	0	0	0	0	0	0
hsa-miR-7106-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-7106-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-7107-3p	1	0	0	0	0	0	1	0	0	0	0	0	0
hsa-miR-7107-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-7108-3p	0	1	0	1	0	0	0	0	0	0	0	0	0
hsa-miR-7108-5p	0	0	0	1	0	0	0	0	0	0	0	0	0
hsa-miR-7109-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-7109-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-711	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-7110-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-7110-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-7111-3p	1	0	1	0	1	0	0	0	0	0	0	0	1
hsa-miR-7111-5p	0	0	0	4	4	0	0	0	0	0	0	1	0
hsa-miR-7112-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-7112-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-7113-3p	0	1	0	0	0	0	0	1	0	0	0	0	0
hsa-miR-7113-5p	0	0	0	1	0	0	0	0	0	0	0	0	0
hsa-miR-7114-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-7114-5p	0	0	0	0	0	0	0	0	0	1	0	1	0
hsa-miR-7150	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-7151-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-7151-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-7152-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-7152-5p	0	0	0	0	0	1	0	0	0	0	0	0	0
hsa-miR-7153-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-7153-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-7154-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-7154-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-7155-3p	0	0	0	1	0	0	0	0	0	0	0	0	0
hsa-miR-7155-5p	0	1	1	0	0	0	0	0	1	0	0	3	0
hsa-miR-7156-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-7156-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-7157-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-7157-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-7158-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-7158-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-7159-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-7159-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-7160-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-7160-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-7161-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-7161-5p	0	0	0	0	0	0	0	1	0	0	0	0	0
hsa-miR-7162-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-7162-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-718	0	0	0	0	0	0	0	1	0	0	0	0	0
hsa-miR-744-3p	0	2	0	1	2	0	0	0	0	0	0	2	2
hsa-miR-744-5p	108	569	1218	1401	1035	363	173	766	488	177	8	2350	446
hsa-miR-7515	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-758-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-758-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-759	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-760	3	6	10	21	11	6	5	30	30	9	0	18	8
hsa-miR-761	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-762	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-764	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-7641	26	6	17	5	5	8	3	22	3	3	0	4	2
hsa-miR-765	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-766-3p	5	13	17	9	12	19	2	52	9	1	0	12	8
hsa-miR-766-5p	16	22	61	49	50	17	5	25	68	8	0	70	31
hsa-miR-767-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-767-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-769-3p	0	2	3	0	1	0	0	2	2	0	0	3	1
hsa-miR-769-5p	22	263	203	118	121	177	43	412	144	103	3	235	414
hsa-miR-770-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-7702	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-7703	0	0	0	0	2	0	0	0	0	0	0	0	0
hsa-miR-7704	0	0	0	0	0	0	0	4	1	0	0	1	0
hsa-miR-7705	0	0	2	0	1	1	2	0	0	2	0	2	1
hsa-miR-7706	22	94	197	121	113	31	5	74	53	12	0	56	46
hsa-miR-7843-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-7843-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-7844-5p	0	0	0	0	0	0	0	0	0	0	2	0	0
hsa-miR-7845-5p	1	1	0	0	0	1	0	4	0	0	0	1	0
hsa-miR-7846-3p	0	2	4	2	1	3	0	5	0	0	0	3	3
hsa-miR-7847-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-7848-3p	1	2	2	2	0	0	0	2	1	0	0	0	2
hsa-miR-7849-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-7850-5p	0	0	0	0	0	0	0	6	0	2	0	0	0
hsa-miR-7851-3p	0	0	0	0	0	0	0	0	2	0	0	0	0
hsa-miR-7852-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-7853-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-7854-3p	0	1	0	0	0	0	1	0	0	0	0	0	0
hsa-miR-7855-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-7856-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-7973	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-7974	2	3	93	302	278	0	0	11	21	1	0	45	2
hsa-miR-7975	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-7976	0	11	6	9	11	1	0	9	5	2	0	17	6
hsa-miR-7977	5	5	7	16	5	12	2	15	1	3	0	0	3
hsa-miR-7978	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-802	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-8052	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-8053	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-8054	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-8055	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-8056	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-8057	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-8058	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-8059	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-8060	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-8061	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-8062	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-8063	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-8064	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-8065	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-8066	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-8067	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-8068	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-8069	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-8070	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-8071	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-8072	0	1	0	0	1	1	0	0	0	0	0	4	2
hsa-miR-8073	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-8074	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-8075	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-8076	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-8077	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-8078	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-8079	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-8080	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-8081	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-8082	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-8083	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-8084	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-8085	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-8086	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-8087	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-8088	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-8089	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-873-3p	0	0	0	0	0	0	0	0	0	0	0	0	1
hsa-miR-873-5p	0	0	0	1	0	0	0	1	0	0	0	0	2
hsa-miR-874-3p	4	59	47	22	28	29	2	76	29	30	1	55	132
hsa-miR-874-5p	0	0	0	1	0	0	0	0	0	0	0	0	1
hsa-miR-875-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-875-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-876-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-876-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-877-3p	3	0	1	3	1	2	0	0	0	1	0	1	1
hsa-miR-877-5p	2	14	21	36	36	14	3	22	20	14	0	62	7
hsa-miR-885-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-885-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-887-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-887-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-888-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-888-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-889-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-889-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-890	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-891a-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-891a-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-891b	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-892a	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-892b	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-892c-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-892c-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-9-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-9-5p	0	1	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-920	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-921	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-922	0	0	0	0	0	0	0	0	0	0	0	2	0
hsa-miR-924	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-92a-1-5p	1146	1745	4336	3684	1884	4658	930	2670	2005	1408	44	1138	4042
hsa-miR-92a-2-5p	0	0	53	84	17	6	3	1	2	4	0	18	5
